Time (s),Thrust (N)
1.017038,1691.807549
1.019489,1690.443392
1.022158,1688.615974
1.025035,1687.297199
1.02697,1685.276879
1.029465,1683.952949
1.031986,1682.440417
1.034963,1681.351905
1.037207,1679.825322
1.039513,1678.645795
1.041961,1676.938297
1.04452,1675.623637
1.047155,1673.505876
1.05006,1672.222564
1.052007,1670.684792
1.054537,1670.04389
1.057039,1668.75613
1.060112,1667.856439
1.062659,1666.813147
1.064526,1665.606689
1.066919,1664.248044
1.069477,1663.32111
1.072612,1661.391741
1.075189,1659.926319
1.076975,1658.460592
1.079534,1657.707116
1.08197,1656.957054
1.084736,1656.109369
1.0872,1654.696624
1.089362,1653.424476
1.09194,1651.820436
1.09458,1650.768336
1.097204,1649.15235
1.099708,1648.109545
1.102077,1646.408094
1.104524,1644.922418
1.106988,1642.467682
1.109655,1640.913924
1.112225,1638.771542
1.114523,1637.597576
1.11691,1636.666712
1.119452,1635.848641
1.12221,1634.777477
1.125068,1634.305376
1.127047,1633.885343
1.129364,1633.340941
1.131992,1632.087888
1.134819,1631.36519
1.137168,1630.283232
1.139322,1629.44718
1.141922,1628.192465
1.144515,1626.964872
1.147299,1624.964147
1.149905,1623.562144
1.151977,1621.955605
1.154574,1621.432354
1.156946,1620.526305
1.160246,1619.646711
1.162613,1618.306948
1.164515,1617.304618
1.166969,1615.026777
1.169538,1613.736617
1.172574,1611.973788
1.17509,1610.372348
1.176971,1608.371012
1.179267,1607.171785
1.182042,1605.294782
1.184962,1604.026172
1.187153,1602.342792
1.189381,1601.342919
1.192054,1599.369153
1.194531,1597.848383
1.197209,1595.742293
1.199661,1594.562695
1.201954,1593.875565
1.204581,1593.457245
1.207022,1592.607051
1.209712,1591.95511
1.212178,1590.951515
1.214678,1590.277769
1.216988,1589.780717
1.219481,1589.169329
1.222207,1588.392339
1.225009,1587.784803
1.226962,1586.772169
1.229477,1585.567918
1.231925,1583.539854
1.234944,1582.390676
1.237481,1580.202402
1.239497,1578.617109
1.241973,1576.455895
1.244519,1575.243865
1.247207,1573.907075
1.249683,1573.020358
1.251969,1572.024204
1.254525,1571.491027
1.25691,1571.48857
1.260585,1571.751532
1.262632,1571.66375
1.264514,1571.579065
1.266964,1571.076917
1.269291,1570.484489
1.272591,1569.955719
1.275145,1569.374343
1.276796,1569.269694
1.279322,1569.279684
1.281993,1568.958919
1.284819,1568.22745
1.287213,1567.088811
1.289452,1566.33342
1.292055,1565.154102
1.294501,1564.352705
1.297219,1563.037012
1.299708,1562.031821
1.301917,1560.400645
1.304586,1558.87576
1.306973,1556.247714
1.309705,1554.243926
1.312515,1550.954715
1.314578,1548.593136
1.316965,1545.017663
1.319279,1542.455445
1.322225,1539.23181
1.325119,1536.935823
1.327004,1532.436756
1.329386,1528.785184
1.33199,1521.595346
1.3349,1515.05081
1.337201,1502.34288
1.339258,1491.385277
1.341971,1471.083873
